zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr
default,,,,default,default,default,
ext_street,,,,ext_street,,,exterior_spaces
ext_reflect,,,,ext_reflect,,,partial_cover
md_ext_alley,,,,md_ext_alley,,,exterior_spaces
sm_ext_alley,,,,sm_ext_alley,,,exterior_spaces
sm_partcover,,,,sm_partcover,,,partial_cover
sm_room,,,,sm_room,,,small_spaces
sm_room_dark,,,,sm_room_dark,,,small_spaces
sm_container,,,,sm_container,,,tight_spaces
sm_pipe,,,,sm_pipe,,,tight_spaces
sm_hallway,,,,sm_hallway,,,small_spaces
sm_hallway_dark,,,,sm_hallway_dark,,,small_spaces
md_room,,,,md_room,,,med_spaces
md_room_dark,,,,md_room_dark,,,med_spaces
md_partcover,,,,md_partcover,,,partial_cover
md_hallway,,,,md_hallway,,,small_spaces
lg_room,,,,lg_room,,,large_spaces
lg_room_dark,,,,lg_room_dark,,,large_spaces
lg_partcover,,,,lg_partcover,,,partial_cover
lg_tunnel,,,,lg_tunnel,,,large_spaces
reverb_name,roomtype,drylevel,wetlevel,fade,,,
default,generic,0.9,0.1,1,,,
no_reverb,gen_no_wet_all_dry,1,0,0,,,
default,gen_no_wet_all_dry,0.9,0.4,6,,,
deathsdoor,underwater,0.6,0.2,2,,,
mountains,gen_ext_lg_valley,0.8,0.3,2,,,
ext_street,gen_ext_street,1,0.9,0.66,,,
ext_reflect,gen_ext_reflect,1,0.9,0.66,,,
md_ext_alley,gen_md_ext_alley,1,0.9,0.66,,,
sm_ext_alley,gen_sm_ext_alley,1,0.9,0.66,,,
sm_partcover,gen_sm_partcover,1,0.9,0.66,,,
sm_room,gen_sm_room,1,0.9,0.66,,,
sm_room_dark,gen_sm_room_dark,1,0.9,0.66,,,
sm_container,gen_sm_container,1,0.9,0.66,,,
sm_pipe,gen_sm_pipe,1,0.9,0.66,,,
sm_hallway,gen_sm_hallway,1,0.9,0.66,,,
sm_hallway_dark,gen_sm_hallway_dark,1,0.9,0.66,,,
md_room,gen_md_room,1,0.9,0.66,,,
md_room_dark,gen_md_room_dark,1,0.9,0.66,,,
md_partcover,gen_md_partcover,1,0.9,0.66,,,
md_hallway,gen_md_hallway,1,0.9,0.66,,,
lg_room,gen_lg_room,1,0.9,0.66,,,
lg_room_dark,gen_lg_room_dark,1,0.9,0.66,,,
lg_partcover,gen_lg_partcover,1,0.9,0.66,,,
lg_tunnel,gen_lg_tunnel,1,0.9,0.66,,,
occlusion_name,channel,frequency,type,gain,q,,
default,voice,4000,highshelf,-6,1,,
default,weapon,5500,highshelf,-6,1,,
default,weapon_mid,6500,highshelf,-6,1,,
default,vehicle,4500,highshelf,-6,1,,
default,aircraft,5500,highshelf,-6,1,,
default,physics,5500,highshelf,-6,1,,
default,body,3200,highshelf,-9,1,,
default,alarm,4000,highshelf,-9,1,,
default,reload,3200,highshelf,-9,1,,
default,auto,3200,highshelf,-9,1,,
default,auto2,3500,highshelf,-6,1,,
default,autodog,4400,highshelf,-6,1,,
default,explosiveimpact,4400,highshelf,-6,1,,
default,explosion1,4800,highshelf,-6,1,,
default,explosion2,5800,highshelf,-6,1,,
